date,steps,calories,distance,floors,minutesSedentary,minutesLightlyActive,minutesFairlyActive,minutesVeryActive,restingHeartRate
2025-08-09,0,1629,0,0,1440,0,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 114, 'min': 30, 'name': 'Out of Range'}, {'max': 141, 'min': 114, 'name': 'Fat Burn'}, {'max': 174, 'min': 141, 'name': 'Cardio'}, {'max': 220, 'min': 174, 'name': 'Peak'}]}"
2025-08-10,13,1630,0.0047783445,0,1440,0,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 114, 'min': 30, 'name': 'Out of Range'}, {'max': 141, 'min': 114, 'name': 'Fat Burn'}, {'max': 174, 'min': 141, 'name': 'Cardio'}, {'max': 220, 'min': 174, 'name': 'Peak'}]}"
2025-08-11,14,1631,0.00430051,0,1439,1,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 114, 'min': 30, 'name': 'Out of Range'}, {'max': 141, 'min': 114, 'name': 'Fat Burn'}, {'max': 174, 'min': 141, 'name': 'Cardio'}, {'max': 220, 'min': 174, 'name': 'Peak'}]}"
2025-08-12,26,1629,0.0057340134,0,1440,0,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 114, 'min': 30, 'name': 'Out of Range'}, {'max': 141, 'min': 114, 'name': 'Fat Burn'}, {'max': 174, 'min': 141, 'name': 'Cardio'}, {'max': 220, 'min': 174, 'name': 'Peak'}]}"
2025-08-13,0,1629,0,0,1440,0,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 114, 'min': 30, 'name': 'Out of Range'}, {'max': 141, 'min': 114, 'name': 'Fat Burn'}, {'max': 174, 'min': 141, 'name': 'Cardio'}, {'max': 220, 'min': 174, 'name': 'Peak'}]}"
2025-08-14,0,1629,0,0,1440,0,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 114, 'min': 30, 'name': 'Out of Range'}, {'max': 141, 'min': 114, 'name': 'Fat Burn'}, {'max': 174, 'min': 141, 'name': 'Cardio'}, {'max': 220, 'min': 174, 'name': 'Peak'}]}"
2025-08-15,409,1724,0.1953385976,0,1404,36,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1723.9577599999998, 'max': 114, 'min': 30, 'minutes': 1440, 'name': 'Out of Range'}, {'caloriesOut': 0, 'max': 141, 'min': 114, 'minutes': 0, 'name': 'Fat Burn'}, {'caloriesOut': 0, 'max': 174, 'min': 141, 'minutes': 0, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 174, 'minutes': 0, 'name': 'Peak'}]}"
2025-08-16,5760,2796,2.750552399,0,1083,325,32,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 2082.5119999999997, 'max': 106, 'min': 30, 'minutes': 1244, 'name': 'Out of Range'}, {'caloriesOut': 700.3578400000004, 'max': 135, 'min': 106, 'minutes': 191, 'name': 'Fat Burn'}, {'caloriesOut': 13.80796, 'max': 172, 'min': 135, 'minutes': 5, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 47}"
2025-08-17,7060,2804,3.3715209427,0,1000,420,8,12,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 2292.3446000000004, 'max': 111, 'min': 30, 'minutes': 1324, 'name': 'Out of Range'}, {'caloriesOut': 267.8821599999999, 'max': 138, 'min': 111, 'minutes': 70, 'name': 'Fat Burn'}, {'caloriesOut': 243.84724000000006, 'max': 173, 'min': 138, 'minutes': 46, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 173, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 56}"
2025-08-18,4654,2104,2.1884879802,0,1272,168,0,0,"{'customHeartRateZones': [], 'heartRateZones': [{'caloriesOut': 1900.3384400000002, 'max': 108, 'min': 30, 'minutes': 1387, 'name': 'Out of Range'}, {'caloriesOut': 179.30275999999998, 'max': 137, 'min': 108, 'minutes': 45, 'name': 'Fat Burn'}, {'caloriesOut': 25.16332, 'max': 172, 'min': 137, 'minutes': 8, 'name': 'Cardio'}, {'caloriesOut': 0, 'max': 220, 'min': 172, 'minutes': 0, 'name': 'Peak'}], 'restingHeartRate': 52}"
